NCB, PURL, FREE ACCESS,,,,INTERNAL ACCESS,,,
2005104,37213,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005109,37214,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005135,37215,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005151,37216,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005163,37217,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005176,37218,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005241,37219,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005244,37220,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005256,37221,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005263,37222,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005281,37223,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005305,37224,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005316,37225,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005341,37226,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005347,37227,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005392,37228,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005396,37229,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005405,37230,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005423,37231,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005424,37232,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2005427,37233,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2039141,37234,OK,OK,Doesn't exist,Internal Access,OK,OK,Internal - Born-digital,Doesn't exist
180007,37235,OK,OK,Doesn't exist,Internal Access,OK,OK,Internal - Digitized,Doesn't exist
1072823,37236,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
1040375,37237,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
1381602,37238,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
1012587,37239,OK,OK,Doesn't exist,Internal Access,OK,OK,Internal - Digitized,Doesn't exist
1058223,37240,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
968835,37241,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
1019243,33232,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
